                num1                num2                        Algo answer      '*' op. answer      Absolute Error
          2132.23243         3543.454545                7555468.69507989435         7.55547e+06                 0.5
             2357.68          7878.78979                   18575665.1120872         1.85757e+07                   2
           43.343545          454656.656                 19706431.228885520         1.97064e+07                   2
          122.343435        456.56567673               55857.81319424776755             55857.8                   0
         121223.3435          45454656.4                5510165426451.67340         5.51017e+12                   0
              53.343          2323.34535                    123934.21100505              123934                   0
            121.2342        3545.4545145                 429830.34170179590              429830                   0
            1345.456            7978.456                    10734661.495936         1.07347e+07                   1
              67.565           789879.67                     53368219.90355         5.33682e+07                   4
           5463.4356          57676.6476                 315112649.78649456         3.15113e+08                   0
         4555555.345             454.454                  2070290348.756630         2.07029e+09                 128
           3434.4545             12.2344                     42018.49013480             42018.5          0.00390625
                1435           345333335                       495553335725         4.95553e+11                   0
                  34      34252465245645                   1164583818351930         1.16458e+15                   0
      454545.4542312             2343.34               1065154544.718140208         1.06515e+09                  64
            232.2324           3434.3434                    797565.81020616              797566              0.0625
             323.343       34343.3434545                11104679.7026083935         1.11047e+07                   1
           435.53786            878.6767                   382696.969549862              382697                   0
             23.3445            346.6768                      8092.99655760                8093         0.000488281
    23435.3345344353    3454.54556567686     80958430.996087245927422377158         8.09584e+07                   0
               12.23            87768.68                       1073410.9564         1.07341e+06               0.125
             12.2323        87768.686786                 1073612.9073723878         1.07361e+06                   0
             12.2323        87768.686786                 1073612.9073723878         1.07361e+06                   0
             12.2323        87768.686786                 1073612.9073723878         1.07361e+06                   0
             12.2323        87768.686786                 1073612.9073723878         1.07361e+06                   0
